BOLD Process-ID	MUSIT no with prefix	Vitenskapelig navn i BOLD	sekvenslengde	Validert vitenskapelig navn etter strekkoding	valideringsmetode	Ekspert
NOBAS154-14	O-F-75476	Cortinarius strenuisporus	556[0n]	Validert	ekspert	Balint Dima
NOBAS155-14	O-F-75477	Cortinarius aprinus	576[0n]	Validert	ekspert	Balint Dima
NOBAS156-14	O-F-75478	Cortinarius salor	650[0n]	Validert	unite	
NOBAS157-14	O-F-75479	Cortinarius olivaceofuscus	654[0n]			
NOBAS158-14	O-F-75480	Inocybe splendens	685[0n]	Validert	unite	
NOBAS159-14	O-F-75481	Cortinarius caerulescentium	644[0n]	Validert	unite	
NOBAS160-14	O-F-75482	Hygrophorus hedrychii	582[0n]	Validert	unite	
NOBAS161-14	O-F-75483	Lepista flaccida	648[0n]	Validert	unite, dendrogram	
NOBAS162-14	O-F-75484	Mycena rosea	652[0n]	Validert	unite	
NOBAS163-14	O-F-75485	Cortinarius sp. TEB03	564[0n]	Validert	ekspert	Balint Dima
NOBAS164-14	O-F-75486	Cortinarius subpuellaris	559[0n]	Validert	ekspert	Balint Dima
NOBAS165-14	O-F-75487	Lactarius picinus	655[0n]	Validert	unite, dendrogram	
NOBAS166-14	O-F-75488	Tricholoma filamentosum	667[0n]	Validert	unite	
NOBAS167-14	O-F-75491	Tricholoma terreum	581[1n]	Validert	unite	
NOBAS168-14	O-F-75492	Calocera viscosa	424[0n]	Validert	unite	
NOBAS169-14	O-F-75493	Russula foetens	0[n]	no sequence		
NOBAS170-14	O-F-75494	Cortinarius purpurascens	639[0n]	Validert	type, ekspert	Balint Dima
NOBAS171-14	O-F-75495	Cortinarius varius	640[0n]	Validert	dendrogram, indirekte ekspert	
NOBAS172-14	O-F-75496	Agaricus depauperatus	673[1n]	Validert	ekspert	Luis Parra
NOBAS173-14	O-F-75497	Ramaria sanguinea	642[0n]	Validert	ekspert	det. Mika Toivonen
NOBAS174-14	O-F-75498	Meripilus giganteus	614[0n]	Validert	unite	
NOBAS175-14	O-F-75499	Albatrellus ovinus	608[0n]	Validert	unite	
NOBAS176-14	O-F-75500	Cortinarius venetus	654[0n]	Validert	unite	
NOBAS177-14	O-F-75501	Cortinarius armillatus	0[n]	no sequence		
NOBAS178-14	O-F-75502	Leccinum variicolor	0[n]	no sequence		
NOBAS179-14	O-F-75503	Amanita arctica	553[0n]	Validert	unite	
NOBAS181-14	O-F-75505	Cortinarius lucorum	402[0n]	Validert	dendrogram, ekspert	Balint Dima
NOBAS180-14	O-F-75504	Leccinum schistophilum	0[n]	no sequence		
NOBAS182-14	O-F-75506	Russula claroflava	572[1n]	Validert	unite	
NOBAS183-14	O-F-75507	Amanita fulva	553[0n]	Validert	unite, ref. seq., dendrogram	
NOBAS184-14	O-F-75508	Entoloma rhodopolium	0[n]	no sequence		
NOBAS185-14	O-F-75509	Collybia cirrhata	648[0n]	Validert	unite	
NOBAS186-14	O-F-75510	Sarcodon imbricatus	712[0n]	Validert	unite	
NOBAS187-14	O-F-75511	Tricholoma viridilutescens	646[0n]	Validert	unite	
NOBAS188-14	O-F-75512	Flammula alnicola	661[0n]	Validert	unite	
NOBAS189-14	O-F-75513	Ramaria sanguinea	650[0n]	Validert	ekspert	Mika Toivonen
NOBAS190-14	O-F-75514	Cortinarius triumphans	590[0n]	Validert	sjekk	
NOBAS191-14	O-F-75515	Cortinarius praestans	588[0n]	Validert	ekspert	Balint Dima
NOBAS192-14	O-F-75516	Craterellus tubaeformis	568[0n]	Validert	unite	
NOBAS193-14	O-F-75517	Infundibulicybe gibba	638[0n]	Validert	unite	
NOBAS194-14	O-F-75518	Amanita rubescens	601[1n]	Validert	unite	
NOBAS195-14	O-F-75519	Clitopilus paxilloides	641[0n]	Validert	unite, dendrogram	
NOBAS196-14	O-F-75520	Cortinarius sp. BD06	634[0n]	Validert	ekspert	Balint Dima
NOBAS197-14	O-F-75521	Amanita virosa	574[0n]	Validert	unite	
NOBAS198-14	O-F-75522	Amanita muscaria var. muscaria	578[0n]	Validert	unite, dendrogram	
NOBAS199-14	O-F-75523	Amanita crocea	552[1n]	Validert	unite	
NOBAS200-14	O-F-75524	Hygrophoropsis aurantiaca	680[0n]	Validert	unite, dendrogram	
NOBAS201-14	O-F-75525	Gymnopilus picreus	630[0n]	Validert	unite	
NOBAS202-14	O-F-75526	Cortinarius sanguineus	649[0n]	Validert	type	
NOBAS203-14	O-F-75527	Tricholoma terreum	532[0n]	Validert	unite	
NOBAS204-14	O-F-75528	Amanita citrina	204[2n]	Validert	unite	
NOBAS205-14	O-F-75529	Stropharia cyanea	619[0n]	Validert	unite	
NOBAS206-14	O-F-75530	Stropharia aeruginosa	649[0n]	Validert	unite	
NOBAS207-14	O-F-75531	Leccinum scabrum	289[1n]	Validert	unite	
NOBAS208-14	O-F-75532	Mycena citrinomarginata	660[3n]			
NOBAS209-14	O-F-75533	Mycena epipterygia	643[2n]			
NOBAS210-14	O-F-75534	Mycena rosella	654	Validert	unite, dendrogram	
NOBAS211-14	O-F-75535	Hygrophorus erubescens	555[0n]	Validert	ekspert	Ellen Larsson
NOBAS212-14	O-F-75536	Cantharellus cibarius	0[n]	no sequence		
NOBAS213-14	O-F-75537	Hygrophorus piceae	596[0n]	Validert	unite	
NOBAS214-14	O-F-75538	Hygrocybe chlorophana	653[0n]	Validert	unite	
NOBAS215-14	O-F-75539	Hygrophorus korhonenii	552[0n]	Validert	unite	
NOBAS216-14	O-F-75540	Lactarius glyciosmus	663[0n]	Validert	unite	
NOBAS217-14	O-F-75541	Sarcodon squamosus	682[0n]	Validert	unite	
NOBAS218-14	O-F-75542	Hericium coralloides	607[0n]	Validert	unite	
NOBAS219-14	O-F-75543	Collybia tuberosa	648[0n]	Validert	unite, ref. seq.	Kati - makrosjekk
NOBAS220-14	O-F-75544	Psilocybe semilanceata	657[0n]	Validert	unite	
NOBAS221-14	O-F-75545	Gomphidius glutinosus	656[0n]	Validert	unite	
NOBAS222-14	O-F-75546	Lactarius camphoratus	681[0n]	Validert	unite	
NOBAS223-14	O-F-75547	Cortinarius mucosus	645[1n]	Validert	dendrogram, ekspert	Balint Dima
NOBAS224-14	O-F-75548	Daedaleopsis confragosa	608[0n]	Validert	unite	
NOBAS225-14	O-F-75549	Hygrocybe sp.	668[0n]			
NOBAS226-14	O-F-75550	Stropharia hornemannii	654[0n]	Validert	unite	
NOBAS227-14	O-F-75551	Tricholoma columbetta	667[0n]	Validert	unite	
NOBAS228-14	O-F-75552	Lichenomphalia hudsoniana	635[0n]	Validert	unite	
NOBAS229-14	O-F-75553	Craterellus cornucopioides	0[n]	no sequence		
NOBAS230-14	O-F-75554	Russula anthracina	549[1n]	Validert	ekspert	Annemieke Verbeken
NOBAS231-14	O-F-75555	Lactarius necator	473[1n]	Validert	unite	
NOBAS232-14	O-F-75556	Chroogomphus mediterraneus	682[0n]	Validert	unite, Martín et al. 2016	
NOBAS233-14	O-F-75557	Lactarius trivialis	678[0n]	Validert	unite	
NOBAS234-14	O-F-75558	Cortinarius semisanguineus	0[n]	no sequence		
NOBAS235-14	O-F-75559	Tricholoma fulvum	656[0n]	Validert	unite	
NOBAS236-14	O-F-75560	Clitocybe connata	632[0n]	Validert	unite	
NOBAS237-14	O-F-75561	Hydnum repandum	595[0n]	Validert	genbank	Gunnhild
NOBAS238-14	O-F-75562	Rhodocollybia butyracea f. asema	706[0n]	Validert	unite	
NOBAS239-14	O-F-75563	Ramaria flavescens	631[5n]	Validert	ekspert	conf. Mika Toivonen
NOBAS240-14	O-F-75564	Paxillus involutus	574[1n]	Validert	unite	
NOBAS241-14	O-F-75565	Lactarius rufus	686[0n]	Validert	unite	
NOBAS242-14	O-F-75566	Lactarius fuliginosus	655[1n]	Validert	ekspert	Annemieke Verbeken
NOBAS243-14	O-F-75567	Clavariadelphus pistillaris	507[0n]	Validert	unite	
NOBAS244-14	O-F-75568	Cortinarius largus	645[0n]	Validert	ekspert	Balint Dima
NOBAS245-14	O-F-75569	Laccaria laccata	653[0n]			
NOBAS246-14	O-F-75570	Cortinarius bolaris	459[0n]	Validert	ekspert	Balint Dima
NOBAS247-14	O-F-75571	Agaricus depauperatus	703[0n]	Validert	ekspert	Luis Parra
NOBAS248-14	O-F-75572	Hygrophorus erubescens	485[0n]	Validert	ekspert	Ellen Larsson
NOBAS249-14	O-F-75573	Boletus pinophilus	674[1n]	Validert	unite	
NOBAS250-14	O-F-75574	Cortinarius limonius	658[0n]	Validert	ekspert	Balint Dima
NOBAS251-14	O-F-75575	Cortinarius clarobrunneus	577[0n]	Validert	ekspert	Balint Dima
NOBAS252-14	O-F-75576	Lactarius torminosus	696[2n]	Validert	unite	
NOBAS253-14	O-F-75577	Hygrocybe conica	649[2n]	Validert	unite, dendrogram	
NOBAS254-14	O-F-75578	Leccinum melaneum	0[n]	no sequence		
NOBAS255-14	O-F-75579	Russula vesca	570[0n]	Validert	unite	
NOBAS256-14	O-F-75580	Lactarius uvidus	686[0n]	Validert	unite	
NOBAS257-14	O-F-75581	Cortinarius torvus	513[1n]	Validert	ekspert	Balint Dima
NOBAS258-14	O-F-75582	Clitocybula platyphylla	627[0n]	Validert	unite	
NOBAS259-14	O-F-75583	Tricholoma stiparophyllum	363[0n]	Validert	unite	
NOBAS260-14	O-F-75584	Leccinum versipelle	0[n]	no sequence		
NOBAS261-14	O-F-75585	Marasmius limosus	752[1n]	Validert	unite	
NOBAS262-14	O-F-75586	Gymnopus acervatus	756[0n]	Validert	unite	
NOBAS263-14	O-F-75587	Pleurotus dryinus	532[0n]	Validert	unite	
NOBAS264-14	O-F-75588	Xerocomus badius	535[0n]	Validert	unite	
NOBAS265-14	O-F-75589	Amanita battarrae	504[0n]	Validert	unite	
NOBAS266-14	O-F-75590	Kuehneromyces mutabilis	0[n]	no sequence		
NOBAS267-14	O-F-75591	Amanita porphyria	626[0n]	Validert	unite	
NOBAS268-14	O-F-75592	Pholiota squarrosa	662[0n]	Validert	unite	
NOBAS269-14	O-F-75593	Ischnoderma benzoinum	502[0n]	Validert	unite	
NOBAS270-14	O-F-75594	Thelephora terrestris	624[1n]	Validert	unite, dendrogram	
NOBAS271-14	O-F-75595	Craterellus sinuosus	786[0n]	Validert	unite	
NOBAS272-14	O-F-75596	Craterellus sinuosus	721[0n]	Validert	unite	Balint Dima
NOBAS273-14	O-F-75597	Cortinarius subfraudulosus	593[0n]	Validert	type, ekspert	Balint Dima
NOBAS274-14	O-F-75598	Cortinarius cruentipellis	159[1n]	Validert	ekspert	Balint Dima
NOBAS275-14	O-F-75599	Rhodocollybia prolixa var. prolixa	740[0n]	Validert	unite	
NOBAS276-14	O-F-75600	Hygrocybe insipida	678[0n]	Validert	unite, dendrogram	
NOBAS277-14	O-F-75601	Cortinarius elegantior	154[0n]	Validert	ekspert	Balint Dima
NOBAS278-14	O-F-75602	Russula integra	666[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS279-14	O-F-75603	Entoloma nitidum	642[0n]	Validert	ekspert	Brandrud, Dima
NOBAS280-14	O-F-75604	Cortinarius bulbopodius	583[1n]	Validert	ekspert	Balint Dima
NOBAS281-14	O-F-75605	Cortinarius melitosarx	509[0n]	Validert	ekspert	Balint Dima
NOBAS282-14	O-F-75606	Cortinarius balteatocumatilis	340[0n]	Validert	unite, dendrogram, ekspert	Balint Dima
NOBAS283-14	O-F-75607	Cortinarius eucaeruleus	645[0n]	Validert	ekspert	Balint Dima
NOBAS284-14	O-F-75608	Ramaria krieglsteineri	606[0n]	Validert	ekspert	conf. Mika Toivonen (uten cf.)
NOBAS286-14	O-F-75610	Inocybe lilacina	614[0n]	Validert	unite	
NOBAS287-14	O-F-75611	Tricholoma portentosum	658[0n]	Validert	unite, dendrogram	
NOBAS288-14	O-F-75612	Xerocomus ferrugineus	660[0n]	Validert	unite	
NOBAS289-14	O-F-75613	Scleroderma sp.	709[0n]			
NOBAS285-14	O-F-75609	Amanita submembranacea	544[0n]	Validert	unite	
NOBAS290-14	O-F-75614	Tricholoma saponaceum	645[0n]	Validert	unite	
NOBAS291-14	O-F-75615	Boletus edulis	694[0n]	Validert	unite	
NOBAS292-14	O-F-75616	Lactarius trivalis	677[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS293-14	O-F-75617	Climacocystis borealis	616[0n]	Validert	unite	
NOBAS294-14	O-F-75618	Leccinum versipelle	0[n]	no sequence		
NOBAS295-14	O-F-75619	Phellodon melaleucus	638[0n]	Validert	unite, dendrogram	
NOBAS296-14	O-F-75620	Gymnopus acervatus	731[0n]	Validert	unite	
NOBAS297-14	O-F-75621	Hydnum repandum	595[0n]	Validert	genbank	Gunnhild
NOBAS298-14	O-F-75622	Clitopilus paxilloides	487[1n]	Validert	unite, dendrogram	
NOBAS299-14	O-F-75623	Cortinarius vibratilis	462[0n]	Validert	ekspert	Balint Dima
NOBAS300-14	O-F-75624	Tricholoma sulphureum	639[0n]	Validert	unite	
NOBAS301-14	O-F-75625	Cortinarius saporatus	616[0n]	Validert	ekspert	Balint Dima
NOBAS302-14	O-F-75626	Tricholoma stans	655[0n]	Validert	unite, indirekte ekspert	
NOBAS303-14	O-F-75627	Laccaria amethystina	653[0n]	Validert	unite	
NOBAS304-14	O-F-75628	Mycena galericulata	667[0n]	Validert	unite	
NOBAS305-14	O-F-75629	Cortinarius traganus	558[0n]	Validert	ekspert	Balint Dima
NOBAS306-14	O-F-75630	Cortinarius nefastus	563[0n]	Validert	ekspert	Balint Dima
NOBAS307-14	O-F-75631	Chrysomphalina chrysophylla	566[0n]	Validert	unite	
NOBAS308-14	O-F-75632	Cortinarius pholideus	563[1n]	Validert	ekspert	Balint Dima
NOBAS309-14	O-F-75633	Cortinarius stillatitius	0[n]	no sequence		
NOBAS310-14	O-F-75634	Leccinum piceinum	0[n]	no sequence		
NOBAS311-14	O-F-75635	Cortinarius bivelus	432[0n]	Validert	ekspert	Balint Dima
NOBAS312-14	O-F-75636	Laccaria tortilis	653[0n]	Validert	unite	
NOBAS313-14	O-F-75637	Tricholoma fucatum	599[0n]	Validert	unite	
NOBAS314-14	O-F-75638	Cortinarius cyanites	672[0n]			
NOBAS315-14	O-F-75639	Cortinarius illuminus	653[0n]	Validert	unite	
NOBAS316-14	O-F-75640	Cortinarius phoeniceus	0[n]	no sequence		
